"filename", "language", "C++", "comment", "blank", "total"
"/Users/ctlqwq/Documents/OI/Code/Comp/25-10-02 MX/circle/circle.cpp", "C++", 74, 3, 25, 102
"/Users/ctlqwq/Documents/OI/Code/Comp/25-10-02 MX/model.cpp", "C++", 29, 3, 12, 44
"/Users/ctlqwq/Documents/OI/Code/Comp/25-10-02 MX/polygon/polygon.cpp", "C++", 72, 3, 20, 95
"/Users/ctlqwq/Documents/OI/Code/Comp/25-10-02 MX/road/road.cpp", "C++", 98, 3, 26, 127
"/Users/ctlqwq/Documents/OI/Code/Comp/25-10-02 MX/sequence/sequence.cpp", "C++", 63, 144, 43, 250
"Total", "-", 336, 156, 126, 618
