"filename", "language", "C++", "comment", "blank", "total"
"/Users/ctlqwq/Documents/OI/Code/Comp/25-10-05 MX/distance/distance.cpp", "C++", 64, 30, 29, 123
"/Users/ctlqwq/Documents/OI/Code/Comp/25-10-05 MX/distance/gen.cpp", "C++", 47, 3, 15, 65
"/Users/ctlqwq/Documents/OI/Code/Comp/25-10-05 MX/max/max.cpp", "C++", 49, 8, 21, 78
"/Users/ctlqwq/Documents/OI/Code/Comp/25-10-05 MX/model.cpp", "C++", 29, 3, 12, 44
"/Users/ctlqwq/Documents/OI/Code/Comp/25-10-05 MX/sum/sum.cpp", "C++", 78, 3, 25, 106
"Total", "-", 267, 47, 102, 416
