"filename", "language", "C++", "comment", "blank", "total"
"/Users/ctlqwq/Documents/OI/Code/Comp/25-10-08 MX/fox/fox.cpp", "C++", 118, 101, 59, 278
"/Users/ctlqwq/Documents/OI/Code/Comp/25-10-08 MX/model.cpp", "C++", 29, 3, 12, 44
"/Users/ctlqwq/Documents/OI/Code/Comp/25-10-08 MX/snake/snake.cpp", "C++", 117, 10, 44, 171
"/Users/ctlqwq/Documents/OI/Code/Comp/25-10-08 MX/well/well.cpp", "C++", 99, 2, 26, 127
"Total", "-", 363, 116, 141, 620
