"filename", "language", "C++", "Markdown", "Python", "comment", "blank", "total"
"d:\000 Noip\000 Code\Comp\22-11-13 洛谷NOIP全程模拟\A.cpp", "C++", -29, 0, 0, 0, -7, -36
"d:\000 Noip\000 Code\Comp\22-11-13 洛谷NOIP全程模拟\A_1.cpp", "C++", -37, 0, 0, 0, -4, -41
"d:\000 Noip\000 Code\Comp\22-11-13 洛谷NOIP全程模拟\A_2.cpp", "C++", -61, 0, 0, -5, -14, -80
"d:\000 Noip\000 Code\Comp\22-11-13 洛谷NOIP全程模拟\A_3.cpp", "C++", -29, 0, 0, 0, -7, -36
"d:\000 Noip\000 Code\Comp\22-11-13 洛谷NOIP全程模拟\B.cpp", "C++", -129, 0, 0, -10, -18, -157
"d:\000 Noip\000 Code\Comp\22-11-13 洛谷NOIP全程模拟\B_1.cpp", "C++", -49, 0, 0, 0, -9, -58
"d:\000 Noip\000 Code\Comp\22-11-18 sg模拟\A.cpp", "C++", -52, 0, 0, -1, -13, -66
"d:\000 Noip\000 Code\Comp\22-11-18 sg模拟\A2.cpp", "C++", -217, 0, 0, 0, -4, -221
"d:\000 Noip\000 Code\Comp\22-11-18 sg模拟\A_py.py", "Python", 0, 0, -4, 0, -1, -5
"d:\000 Noip\000 Code\Comp\22-11-18 sg模拟\A_table.cpp", "C++", -21, 0, 0, -1, -6, -28
"d:\000 Noip\000 Code\Comp\22-11-18 sg模拟\C.cpp", "C++", -86, 0, 0, -1, -14, -101
"d:\000 Noip\000 Code\Comp\22-11-19 LGR2\A.cpp", "C++", -14, 0, 0, 0, -5, -19
"d:\000 Noip\000 Code\Comp\22-11-19 LGR2\B.cpp", "C++", -52, 0, 0, 0, -12, -64
"d:\000 Noip\000 Code\Comp\22-11-19 LGR2\C.cpp", "C++", -73, 0, 0, 0, -10, -83
"d:\000 Noip\000 Code\Comp\22-11-19 LGR2\C_1.cpp", "C++", -13, 0, 0, 0, -4, -17
"d:\000 Noip\000 Code\Comp\22-11-19 LGR2\C_2.cpp", "C++", -35, 0, 0, 0, -7, -42
"d:\000 Noip\000 Code\Comp\22-11-19 LGR2\C_debug.cpp", "C++", -73, 0, 0, 0, -11, -84
"d:\000 Noip\000 Code\Comp\22-11-19 LGR2\test.cpp", "C++", -15, 0, 0, 0, -4, -19
"d:\000 Noip\000 Code\Comp\22-11-19 LGR2\赛后\A.cpp", "C++", -83, 0, 0, -2, -14, -99
"d:\000 Noip\000 Code\Comp\22-11-19 LGR\A.cpp", "C++", -45, 0, 0, 0, -7, -52
"d:\000 Noip\000 Code\Comp\22-11-19 LGR\B.cpp", "C++", -16, 0, 0, 0, -5, -21
"d:\000 Noip\000 Code\Comp\22-11-19 LGR\C.cpp", "C++", -77, 0, 0, 0, -12, -89
